timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617223227244777,570,219,119,1302
20260617223228242355,565,219,117,0
20260617223229247817,582,219,121,0
20260617223230240216,526,219,108,0
20260617223231239054,523,218,107,0
20260617223232244658,525,218,108,0
20260617223233268144,510,218,105,0
20260617223234247131,510,218,105,0
20260617223235247300,519,218,107,0
20260617223236249734,525,218,108,0
20260617223237250006,525,218,108,0
20260617223238263939,602,218,126,0
20260617223239252948,600,218,125,0
20260617223240255358,594,218,124,0
20260617223241257020,593,218,124,0
20260617223242259235,594,218,124,0
20260617223243260217,593,218,124,0
20260617223244260951,603,218,126,0
20260617223245271170,598,218,125,0
20260617223246263632,594,218,124,0
20260617223247268826,593,218,124,0
20260617223248270644,594,218,124,0
20260617223249269194,594,218,124,0
20260617223250313282,603,218,126,0
20260617223251273987,596,218,124,0
20260617223252294653,594,218,124,0
20260617223253274573,593,218,124,0
20260617223254274692,594,218,124,0
20260617223255276789,594,218,124,0
20260617223256285156,603,218,126,0
20260617223257281491,595,218,124,0
20260617223258283419,594,218,124,1
20260617223259305924,594,218,124,1
20260617223300282693,595,218,124,1
20260617223301285518,594,218,124,1
20260617223302295367,602,218,126,1
20260617223303313203,595,218,124,1
20260617223304288126,594,218,124,1
20260617223305294433,594,218,124,1
20260617223306289112,595,218,124,1
20260617223307296436,594,218,124,1
20260617223308288323,602,219,126,1
20260617223309295844,597,219,125,1
20260617223310299105,594,219,124,1
20260617223311314866,593,219,124,1
20260617223312299307,594,218,124,1
20260617223313299856,593,219,124,1
20260617223314304507,602,218,126,1
20260617223315304365,596,219,124,1
20260617223316303836,593,219,124,1
20260617223317308586,593,219,124,1
20260617223318307949,593,219,124,1
20260617223319309797,593,219,124,1
20260617223320308464,602,219,126,1
20260617223321312150,594,219,124,1
20260617223322324035,594,218,124,1
20260617223323326173,594,218,124,1
20260617223324316949,593,218,124,1
20260617223325318100,594,218,124,1
20260617223326332093,602,218,126,2
20260617223327331393,600,218,125,2
20260617223328324902,594,218,124,2
20260617223329322672,594,218,124,2
20260617223330321098,594,218,124,2
20260617223331326892,595,218,124,2
20260617223332330728,603,218,126,2
20260617223333328719,598,218,125,2
20260617223334331462,594,218,124,2
20260617223335331803,594,218,124,2
20260617223336349076,593,218,124,2
20260617223337331277,594,218,124,2
20260617223338334125,603,218,126,2
20260617223339334501,597,218,124,2
20260617223340334381,594,218,124,2
20260617223341336945,595,218,124,2
20260617223342337458,595,218,124,2
20260617223343342669,594,218,124,2
20260617223344340186,603,218,126,2
20260617223345352477,595,218,124,2
20260617223346358729,594,218,124,2
20260617223347346650,593,218,124,2
20260617223348348329,593,219,124,2
20260617223349349456,593,218,124,2
20260617223350350700,602,218,126,2
20260617223351352889,599,218,125,2
20260617223352352541,594,218,124,2
20260617223353357224,593,218,124,2
20260617223354354203,593,219,124,2
20260617223355358770,593,219,124,3
20260617223356355760,602,219,126,3
20260617223357353942,597,219,125,3
20260617223358358135,593,219,124,3
20260617223359358425,593,219,124,3
20260617223400355103,593,219,124,3
20260617223401360386,593,219,124,3
20260617223402359010,602,219,126,3
20260617223403360104,595,219,124,3
20260617223404366215,592,219,124,3
20260617223405363249,592,219,124,3
20260617223406363030,593,219,124,3
20260617223407364307,593,219,124,3
20260617223408363086,602,219,126,3
20260617223409368284,594,219,124,3
20260617223410369063,593,219,124,3
20260617223411369420,592,219,124,3
20260617223412380587,593,219,124,3
20260617223413378033,593,219,124,3
20260617223414376617,601,219,126,3
20260617223415376130,599,219,125,3
20260617223416373017,593,219,124,3
20260617223417379003,592,219,124,3
20260617223418390722,592,219,124,3
20260617223419379948,592,219,124,3
20260617223420380850,602,219,126,3
20260617223421379905,597,219,125,3
20260617223422383704,595,218,124,3
20260617223423384385,595,218,124,3
20260617223424379963,594,218,124,4
20260617223425379477,594,218,124,4
20260617223426380756,603,218,126,4
20260617223427386719,597,218,124,4
20260617223428381811,596,218,124,4
20260617223429382225,596,218,124,4
20260617223430388362,595,218,124,4
20260617223431388515,595,218,124,4
20260617223432384547,604,218,126,4
20260617223433390538,598,217,124,4
20260617223434389778,596,218,124,4
20260617223435390882,595,218,124,4
20260617223436392399,594,218,124,4
20260617223437392159,594,218,124,4
20260617223438398114,603,218,126,4
20260617223439392293,595,218,124,4
20260617223440392877,594,218,124,4
20260617223441393103,594,218,124,4
20260617223442388647,594,218,124,4
20260617223443392236,594,218,124,4
20260617223444395674,603,218,126,4
20260617223445399345,599,218,125,4
20260617223446398271,596,218,124,4
20260617223447397635,594,218,124,4
20260617223448426247,594,218,124,4
20260617223449411267,594,218,124,4
20260617223450426972,603,218,126,4
20260617223451401955,597,218,124,4
20260617223452401051,595,218,124,4
20260617223453399999,594,218,124,5
20260617223454402996,596,218,124,5
20260617223455404578,595,218,124,5
20260617223456406391,603,218,126,5
20260617223457409235,596,218,124,5
20260617223458414402,595,218,124,5
20260617223459408395,594,218,124,5
20260617223500414241,594,218,124,5
20260617223501406982,594,218,124,5
20260617223502455382,604,218,126,5
20260617223503430022,601,218,124,5
20260617223504439042,594,218,124,5
20260617223505415702,593,219,124,5
20260617223506408928,593,219,124,5
20260617223507416215,593,219,124,5
20260617223508414064,603,218,126,5
20260617223509416993,598,218,125,5
20260617223510417328,594,218,124,5
20260617223511417493,593,219,124,5
20260617223512417621,592,219,124,5
20260617223513417823,593,218,124,5
20260617223514417612,603,218,126,5
20260617223515433493,596,218,124,5
20260617223516419664,594,218,124,5
20260617223517420698,592,219,124,5
20260617223518421372,594,219,124,5
20260617223519442634,592,219,124,5
20260617223520436184,602,219,126,5
20260617223521436643,594,219,124,5
20260617223522424604,593,219,124,6
20260617223523437410,592,219,124,6
20260617223524437845,593,219,124,6
20260617223525438088,593,219,124,6
20260617223526438196,601,219,126,6
20260617223527438749,599,219,125,6
20260617223528439091,592,219,124,6
20260617223529455862,592,219,124,6
20260617223530439679,593,219,124,6
20260617223531440561,592,219,124,6
20260617223532441026,602,219,126,6
20260617223533441597,597,219,125,6
20260617223534442286,592,219,124,6
20260617223535442530,592,219,124,6
20260617223536455203,592,219,124,6
20260617223537447366,592,219,124,6
20260617223538443773,602,219,126,6
20260617223539444193,594,219,124,6
20260617223540444382,592,219,124,6
20260617223541444578,592,219,124,6
20260617223542445012,592,219,124,6
20260617223543445179,592,219,124,6
20260617223544445233,602,219,126,6
20260617223545447002,593,219,124,6
20260617223546448826,592,219,124,6
20260617223547448155,591,219,124,6
20260617223548450367,592,219,124,6
20260617223549450490,592,219,124,6
20260617223550447414,601,219,126,6
20260617223551447987,593,219,124,7
20260617223552463013,593,219,124,7
20260617223553449460,592,219,124,7
20260617223554449706,592,219,124,7
20260617223555450511,592,219,124,7
20260617223556451686,602,219,126,7
20260617223557452399,597,219,125,7
20260617223558453031,593,219,124,7
20260617223559454957,593,219,124,7
20260617223600454791,593,219,124,7
20260617223601481674,592,219,124,7
20260617223602456742,602,219,126,7
20260617223603467691,596,219,124,7
20260617223604478676,593,219,124,7
20260617223605458673,592,219,124,7
20260617223606459253,593,219,124,7
20260617223607460174,592,219,124,7
20260617223608463540,602,218,126,7
20260617223609460117,595,218,124,7
20260617223610461014,593,218,124,7
20260617223611462464,593,219,124,7
20260617223612462440,592,219,124,7
20260617223613463076,592,219,124,7
20260617223614468637,601,219,126,7
20260617223615486554,594,219,124,7
20260617223616467091,592,219,124,7
20260617223617467248,593,219,124,7
20260617223618474109,593,219,124,7
20260617223619493145,592,219,124,7
20260617223620474734,602,219,126,8
20260617223621475192,597,219,125,8
20260617223622480447,592,219,124,8
20260617223623475526,593,219,124,8
20260617223624471347,593,219,124,8
20260617223625471478,592,219,124,8
20260617223626472493,602,219,126,8
20260617223627472687,595,219,124,8
20260617223628474080,592,219,124,8
20260617223629483530,592,219,124,8
20260617223630474811,592,219,124,8
20260617223631475299,592,219,124,8
20260617223632477466,601,219,126,8
20260617223633485508,593,219,124,8
20260617223634479257,592,219,124,8
20260617223635479420,591,219,124,8
20260617223636479741,592,219,124,8
20260617223637482906,591,219,124,8
20260617223638480035,601,219,126,8
20260617223639480909,593,219,124,8
20260617223640505942,592,219,124,8
20260617223641481661,592,219,124,8
20260617223642483993,592,219,124,8
20260617223643483608,592,219,124,8
20260617223644488492,601,219,126,8
