timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617225725047930,581,221,122,25
20260617225726063493,589,221,124,0
20260617225727051023,588,221,124,0
20260617225728080257,543,221,113,0
20260617225729056014,525,221,109,0
20260617225730066890,516,221,107,0
20260617225731058444,510,221,106,0
20260617225732060158,517,221,107,0
20260617225733063065,521,221,108,0
20260617225734062993,523,220,109,0
20260617225735064945,520,220,108,0
20260617225736066377,592,220,125,0
20260617225737072192,593,220,125,0
20260617225738067879,597,220,125,0
20260617225739076770,597,220,125,0
20260617225740071776,593,220,125,0
20260617225741075222,593,220,125,0
20260617225742071276,593,220,125,0
20260617225743082139,592,220,125,0
20260617225744075517,599,220,126,0
20260617225745075422,602,220,126,0
20260617225746076878,593,220,125,0
20260617225747079094,592,220,124,0
20260617225748079673,593,220,125,0
20260617225749079957,593,220,125,0
20260617225750087165,602,220,126,0
20260617225751089240,601,220,126,0
20260617225752102299,593,220,125,0
20260617225753084152,593,220,125,0
20260617225754087324,593,220,125,0
20260617225755088672,594,219,125,1
20260617225756088355,602,219,126,1
20260617225757090515,600,220,126,1
20260617225758097101,593,220,125,1
20260617225759094255,593,220,124,1
20260617225800095733,593,220,125,1
20260617225801095601,593,220,124,1
20260617225802095781,599,219,126,1
20260617225803098274,599,219,125,1
20260617225804102367,595,219,125,1
20260617225805103586,595,219,125,1
20260617225806132700,595,219,125,1
20260617225807132678,595,219,125,1
20260617225808131931,602,219,126,1
20260617225809135925,604,219,127,1
20260617225810132117,595,219,125,1
20260617225811133445,594,219,125,1
20260617225812136972,595,219,125,1
20260617225813133917,595,219,125,1
20260617225814141197,604,219,126,1
20260617225815140877,603,219,126,1
20260617225816142267,595,219,125,1
20260617225817143389,596,219,125,1
20260617225818152204,595,219,125,1
20260617225819145768,596,219,125,1
20260617225820148153,604,219,126,1
20260617225821183133,601,219,126,1
20260617225822167607,595,219,125,1
20260617225823176355,596,219,125,1
20260617225824170540,595,219,125,2
20260617225825173910,595,219,125,2
20260617225826173007,601,219,126,2
20260617225827173917,604,219,127,2
20260617225828208358,594,219,125,2
20260617225829176463,596,219,125,2
20260617225830184746,595,219,125,2
20260617225831180355,596,219,125,2
20260617225832193202,603,219,126,2
20260617225833183235,604,219,126,2
20260617225834185162,594,219,125,2
20260617225835200962,595,219,125,2
20260617225836188889,594,219,125,2
20260617225837188868,595,219,125,2
20260617225838188531,604,219,126,2
20260617225839195031,602,219,126,2
20260617225840191897,595,219,125,2
20260617225841191909,595,219,125,2
20260617225842192500,595,219,125,2
20260617225843194453,594,219,125,2
20260617225844198825,599,219,125,2
20260617225845197278,599,219,125,2
20260617225846214578,595,219,125,2
20260617225847201684,594,219,125,2
20260617225848202511,594,219,125,2
20260617225849210762,594,219,125,2
20260617225850203990,601,219,126,2
20260617225851206464,604,219,126,2
20260617225852202364,594,219,125,2
20260617225853208059,595,219,125,3
20260617225854208286,595,219,125,3
20260617225855206002,594,219,125,3
20260617225856208176,603,219,126,3
20260617225857209509,602,219,126,3
20260617225858213047,594,219,125,3
20260617225859213630,595,219,125,3
20260617225900243558,595,219,125,3
20260617225901215090,594,219,125,3
20260617225902218834,603,219,126,3
20260617225903219678,601,219,126,3
20260617225904220054,595,219,125,3
20260617225905224476,594,219,125,3
20260617225906223687,595,219,125,3
20260617225907223015,594,219,125,3
20260617225908222741,600,219,126,3
20260617225909272033,604,219,127,3
20260617225910226032,595,219,125,3
20260617225911226970,594,219,125,3
20260617225912231802,594,219,125,3
20260617225913229667,595,219,125,3
20260617225914232388,602,219,126,3
20260617225915237727,604,219,126,3
20260617225916259221,595,219,125,3
20260617225917247412,595,219,125,3
20260617225918259547,595,219,125,3
20260617225919259404,594,219,125,3
20260617225920260008,603,219,126,3
20260617225921260312,602,219,126,4
20260617225922261409,594,219,125,4
20260617225923261496,593,219,125,4
20260617225924262466,594,219,125,4
20260617225925263168,594,219,125,4
20260617225926263913,603,219,126,4
20260617225927264053,601,219,126,4
20260617225928264768,594,219,125,4
20260617225929265133,594,219,125,4
20260617225930266292,596,219,125,4
20260617225931266901,595,219,125,4
20260617225932267482,600,219,126,4
20260617225933268153,604,219,127,4
20260617225934312417,595,219,125,4
20260617225935294493,595,219,125,4
20260617225936296433,595,219,125,4
20260617225937296230,595,219,125,4
20260617225938296158,602,219,126,4
20260617225939295760,604,219,127,4
20260617225940299831,595,219,125,4
20260617225941310175,595,219,125,4
20260617225942300663,595,219,125,4
20260617225943301644,594,219,125,4
20260617225944302623,603,219,126,4
20260617225945303762,602,219,126,4
20260617225946303681,595,219,125,4
20260617225947317809,596,219,125,4
20260617225948306230,595,219,125,4
20260617225949307942,595,219,125,4
20260617225950329088,599,219,125,5
20260617225951316905,601,219,126,5
20260617225952310226,595,219,125,5
20260617225953311511,595,219,125,5
20260617225954307925,596,219,125,5
20260617225955314097,595,219,125,5
20260617225956313232,600,219,126,5
20260617225957314490,604,219,127,5
20260617225958317406,596,219,125,5
20260617225959318287,595,219,125,5
20260617230000316857,595,219,125,5
20260617230001319328,595,219,125,5
20260617230002320802,603,219,126,5
20260617230003319421,604,219,126,5
20260617230004322797,595,219,125,5
20260617230005346577,595,219,125,5
20260617230006331203,596,219,125,5
20260617230007333114,594,219,125,5
20260617230008327838,603,219,126,5
20260617230009327687,602,219,126,5
20260617230010330364,595,219,125,5
20260617230011331716,595,219,125,5
20260617230012331677,596,219,125,5
20260617230013357202,595,219,125,5
20260617230014333410,599,219,125,5
20260617230015337456,601,219,126,5
20260617230016336289,596,219,125,5
20260617230017336830,595,219,125,5
20260617230018438213,597,219,125,5
20260617230019431768,595,219,125,6
20260617230020433307,602,219,126,6
20260617230021428668,605,219,127,6
20260617230022431605,597,219,125,6
20260617230023433103,597,219,125,6
20260617230024434627,596,219,125,6
20260617230025436359,596,219,125,6
20260617230026437026,603,219,126,6
20260617230027438504,604,219,126,6
20260617230028441522,596,219,125,6
20260617230029436944,597,218,125,6
20260617230030463582,596,219,125,6
20260617230031439589,596,219,125,6
20260617230032443083,604,219,126,6
20260617230033444832,603,219,126,6
20260617230034445136,596,219,125,6
20260617230035450505,595,219,125,6
20260617230036446419,596,219,125,6
20260617230037448521,596,219,125,6
20260617230038448059,599,219,125,6
20260617230039450405,600,219,126,6
20260617230040452874,596,219,125,6
20260617230041453705,595,219,125,6
20260617230042456725,595,219,125,6
20260617230043454856,595,219,125,6
20260617230044453001,601,219,126,6
20260617230045488175,605,219,127,6
20260617230046458067,595,219,125,6
20260617230047460894,595,219,125,6
20260617230048459770,596,219,125,7
20260617230049461845,595,219,125,7
20260617230050461349,603,219,126,7
20260617230051462042,604,219,126,7
20260617230052463542,596,219,125,7
20260617230053464444,595,219,125,7
20260617230054467479,595,219,125,7
20260617230055487326,595,219,125,7
20260617230056483270,604,219,126,7
20260617230057485749,602,219,126,7
20260617230058486305,595,219,125,7
20260617230059507062,595,219,125,7
20260617230100487546,595,219,125,7
20260617230101487577,595,219,125,7
20260617230102490012,599,219,126,7
20260617230103494993,605,219,127,7
20260617230104491176,595,219,125,7
20260617230105494367,594,219,125,7
20260617230106492937,595,219,125,7
20260617230107498497,594,219,125,7
20260617230108507427,601,219,126,7
20260617230109500035,604,219,126,7
20260617230110503070,595,219,125,7
20260617230111503621,595,219,125,7
20260617230112504202,594,219,125,7
20260617230113500302,594,219,124,7
20260617230114506164,602,219,126,7
20260617230115507147,602,219,126,7
20260617230116508324,594,219,125,8
20260617230117510289,594,219,125,8
20260617230118512838,594,219,125,8
20260617230119512399,594,219,125,8
20260617230120519897,603,219,126,8
20260617230121514171,601,219,126,8
20260617230122518879,595,219,125,8
20260617230123519860,594,219,125,8
20260617230124517207,595,219,125,8
20260617230125519134,594,219,125,8
20260617230126518846,599,219,125,8
20260617230127519383,604,219,127,8
20260617230128516878,594,219,125,8
20260617230129522088,594,219,125,8
20260617230130525335,595,219,125,8
20260617230131525203,594,219,125,8
20260617230132525584,601,219,126,8
20260617230133526093,604,219,127,8
20260617230134534415,594,219,125,8
20260617230135558656,594,219,125,8
20260617230136530897,594,219,125,8
20260617230137532167,594,219,125,8
20260617230138532761,602,219,126,8
20260617230139535460,602,219,126,8
20260617230140535187,595,219,125,8
20260617230141535901,594,219,125,8
20260617230142541960,594,219,125,8
20260617230143539069,594,219,124,8
20260617230144553996,603,219,126,8
20260617230145544336,601,219,126,9
20260617230146544784,595,219,125,9
20260617230147545312,595,219,125,9
20260617230148555938,595,219,125,9
20260617230149549487,594,219,125,9
20260617230150557478,598,219,125,9
20260617230151552376,604,219,127,9
20260617230152553360,594,219,125,9
20260617230153554777,595,219,125,9
20260617230154557101,595,219,125,9
20260617230155555175,596,219,125,9
20260617230156561530,601,219,126,9
20260617230157563253,604,219,127,9
20260617230158564883,595,219,125,9
20260617230159566336,595,219,125,9
20260617230200569205,594,219,125,9
20260617230201572059,595,219,125,9
20260617230202582576,603,219,126,9
20260617230203569111,603,219,126,9
20260617230204573254,595,219,125,9
20260617230205571991,595,219,125,9
20260617230206573514,595,219,125,9
