timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617225110520821,586,220,123,12
20260617225111524471,586,220,123,12
20260617225112526472,617,220,130,12
20260617225113533789,556,220,116,12
20260617225114528993,554,220,115,13
20260617225115530458,522,220,108,13
20260617225116552112,503,220,104,13
20260617225117532928,503,220,104,13
20260617225118535402,508,220,105,13
20260617225119535474,522,220,108,13
20260617225120537919,530,220,110,13
20260617225121567770,590,220,124,13
20260617225122541106,593,220,124,13
20260617225123538363,590,220,124,13
20260617225124546025,591,220,124,13
20260617225125543422,591,220,124,13
20260617225126544758,599,220,126,13
20260617225127572698,596,220,125,13
20260617225128548282,591,220,124,13
20260617225129551755,591,220,124,13
20260617225130552338,592,220,124,13
20260617225131560187,591,220,124,13
20260617225132554042,600,219,126,13
20260617225133562289,595,220,125,13
20260617225134560436,591,220,124,13
20260617225135556745,591,220,124,13
20260617225136587421,591,220,124,13
20260617225137560690,590,220,124,13
20260617225138562607,598,220,125,13
20260617225139566654,599,220,126,13
20260617225140561928,591,220,124,13
20260617225141567714,591,220,124,13
20260617225142563168,591,220,124,13
20260617225143569825,591,219,124,13
20260617225144570969,599,220,126,14
20260617225145571491,598,220,125,14
20260617225146575638,592,220,124,14
20260617225147574318,591,220,124,14
20260617225148597381,591,220,124,14
20260617225149589316,591,220,124,14
20260617225150578642,599,220,126,14
20260617225151588029,595,220,125,14
20260617225152585246,591,220,124,14
20260617225153580931,591,220,124,14
20260617225154583219,591,220,124,14
20260617225155612292,591,220,124,14
20260617225156586060,599,220,126,14
20260617225157588901,594,220,125,14
20260617225158588554,592,220,124,14
20260617225159597397,591,220,124,14
20260617225200597290,591,220,124,14
20260617225201596722,591,220,124,14
20260617225202601569,597,220,125,14
20260617225203599217,599,220,126,14
20260617225204600848,591,220,124,14
20260617225205600995,591,220,124,14
20260617225206602861,592,220,124,14
20260617225207603246,590,220,124,14
20260617225208606180,600,220,126,14
20260617225209605969,598,220,125,14
20260617225210607607,592,220,124,14
20260617225211608260,591,220,124,14
20260617225212610538,591,220,124,15
20260617225213608827,590,220,124,15
20260617225214622044,600,220,126,15
20260617225215610985,596,220,125,15
20260617225216613059,591,220,124,15
20260617225217629348,590,220,124,15
20260617225218615260,591,220,124,15
20260617225219615487,590,220,124,15
20260617225220622359,599,220,126,15
20260617225221617617,594,220,125,15
20260617225222616997,591,220,124,15
20260617225223618993,591,220,124,15
20260617225224634559,591,220,124,15
20260617225225619637,591,220,124,15
20260617225226620674,597,220,125,15
20260617225227623513,600,220,126,15
20260617225228624251,591,220,124,15
20260617225229624615,591,220,124,15
20260617225230625009,592,220,124,15
20260617225231635003,591,220,124,15
20260617225232634014,598,220,126,15
20260617225233628610,598,220,126,15
20260617225234636537,591,220,124,15
20260617225235630228,591,220,124,15
20260617225236630853,591,220,124,15
20260617225237632307,591,220,124,15
20260617225238648743,599,220,126,15
20260617225239647136,597,220,125,15
20260617225240633185,590,220,124,15
20260617225241638069,590,220,124,16
20260617225242637252,591,220,124,16
20260617225243639060,591,220,124,16
20260617225244640553,599,220,126,16
20260617225245649166,594,220,125,16
20260617225246643248,591,220,124,16
20260617225247650023,590,220,124,16
20260617225248645118,590,220,124,16
20260617225249644473,590,220,124,16
20260617225250647288,597,220,125,16
20260617225251647176,599,220,126,16
20260617225252647715,591,220,124,16
20260617225253647975,590,220,124,16
20260617225254650775,591,220,124,16
20260617225255651774,591,220,124,16
20260617225256652321,598,220,126,16
20260617225257657541,598,220,126,16
20260617225258654336,591,220,124,16
20260617225259665465,591,220,124,16
20260617225300655787,591,220,124,16
20260617225301659864,590,220,124,16
20260617225302664848,598,220,126,16
20260617225303662506,591,220,124,16
20260617225304667438,591,220,124,16
20260617225305662888,590,220,124,16
20260617225306664143,590,220,124,16
20260617225307663487,590,220,124,16
20260617225308665095,599,220,126,16
20260617225309689332,594,220,125,16
20260617225310667981,591,220,124,17
20260617225311669090,590,220,124,17
20260617225312671042,590,220,124,17
20260617225313676407,590,220,124,17
20260617225314670468,597,220,125,17
20260617225315673863,600,220,126,17
20260617225316676227,591,220,124,17
20260617225317700408,591,220,124,17
20260617225318674999,591,220,124,17
20260617225319675888,591,220,124,17
20260617225320678160,598,220,126,17
20260617225321680266,598,220,126,17
20260617225322681379,591,220,124,17
20260617225323702078,591,220,124,17
20260617225324682376,591,220,124,17
20260617225325682523,591,220,124,17
20260617225326684363,600,220,126,17
20260617225327684320,597,220,125,17
20260617225328688638,592,220,124,17
20260617225329688877,591,220,124,17
20260617225330685163,591,220,124,17
20260617225331689996,591,220,124,17
20260617225332689650,599,219,126,17
20260617225333691109,596,220,125,17
20260617225334692480,590,220,124,17
20260617225335715428,590,220,124,17
20260617225336695065,591,220,124,17
20260617225337695429,590,220,124,17
20260617225338696208,596,220,125,17
20260617225339697812,600,220,126,18
20260617225340696859,591,220,124,18
20260617225341699342,590,220,124,18
20260617225342701314,591,220,124,18
20260617225343700889,591,220,124,18
20260617225344700465,598,220,126,18
20260617225345701908,599,220,126,18
20260617225346703860,591,220,124,18
20260617225347705067,591,220,124,18
20260617225348705445,591,220,124,18
20260617225349711880,590,220,124,18
20260617225350707023,599,220,126,18
20260617225351723757,597,220,125,18
20260617225352707233,591,220,124,18
20260617225353708418,592,220,124,18
20260617225354727404,591,220,124,18
20260617225355712605,591,220,124,18
20260617225356728593,599,220,126,18
20260617225357725907,595,220,125,18
20260617225358722995,591,220,124,18
20260617225359724766,590,220,124,18
20260617225400726476,591,220,124,18
20260617225401732883,590,220,124,18
20260617225402726190,596,220,125,18
20260617225403732421,593,220,125,18
20260617225404730986,590,220,124,18
20260617225405731908,590,220,124,18
20260617225406733001,590,220,124,18
20260617225407734386,591,220,124,18
20260617225408737785,598,220,125,19
20260617225409744440,599,220,126,19
20260617225410774838,590,220,124,19
20260617225411740487,590,220,124,19
20260617225412741439,590,220,124,19
20260617225413742065,590,220,124,19
20260617225414741293,598,220,126,19
20260617225415741875,597,220,125,19
20260617225416743691,590,220,124,19
20260617225417744782,590,220,124,19
20260617225418744910,590,220,124,19
20260617225419741791,590,220,124,19
20260617225420747777,598,220,126,19
20260617225421769744,591,220,124,19
20260617225422749207,591,220,124,19
20260617225423746744,590,220,124,19
20260617225424750535,590,220,124,19
20260617225425751824,590,220,124,19
20260617225426754551,595,220,125,19
20260617225427752210,593,220,125,19
20260617225428761655,590,220,124,19
20260617225429753441,590,220,124,19
20260617225430754692,590,220,124,19
20260617225431756406,589,220,124,19
20260617225432757013,597,220,126,19
20260617225433764536,590,220,124,19
20260617225434759613,590,220,124,19
20260617225435765926,590,220,124,19
20260617225436762385,590,220,124,19
20260617225437765900,597,220,126,20
20260617225438764616,595,220,125,20
20260617225439764454,589,220,124,20
20260617225440768788,589,220,124,20
20260617225441767665,590,220,124,20
20260617225442771958,590,220,124,20
20260617225443769094,597,220,126,20
20260617225444769442,595,220,125,20
20260617225445770450,590,220,124,20
20260617225446772570,590,220,124,20
20260617225447784899,590,220,124,20
20260617225448775658,590,220,124,20
20260617225449810556,595,220,125,20
20260617225450808878,593,220,125,20
20260617225451804806,590,220,124,20
20260617225452804678,590,220,124,20
20260617225453804509,590,220,124,20
20260617225454805835,590,220,124,20
20260617225455807313,596,220,125,20
20260617225456811395,598,220,126,20
20260617225457809888,590,220,124,20
20260617225458810724,589,220,124,20
20260617225459812243,589,220,124,20
20260617225500813634,589,220,124,20
20260617225501808752,597,220,126,20
20260617225502814804,596,220,125,20
20260617225503852022,589,220,124,20
20260617225504819026,591,220,124,20
20260617225505823549,589,220,124,21
20260617225506823167,589,220,124,21
20260617225507823445,597,220,126,21
20260617225508851262,594,220,125,21
20260617225509821399,590,220,124,21
20260617225510828881,589,220,124,21
20260617225511827547,589,220,124,21
20260617225512829582,589,220,124,21
20260617225513831213,594,220,125,21
20260617225514831803,592,220,125,21
20260617225515834768,589,220,124,21
20260617225516841449,589,220,124,21
20260617225517835557,590,220,124,21
20260617225518834938,589,220,124,21
20260617225519839902,596,220,125,21
20260617225520834956,597,220,126,21
20260617225521841563,590,220,124,21
20260617225522850800,589,220,124,21
20260617225523843871,590,220,124,21
20260617225524848379,589,220,124,21
20260617225525844535,597,220,126,21
20260617225526850394,596,220,125,21
20260617225527844923,590,220,124,21
20260617225528851826,589,220,124,21
20260617225529849260,590,220,124,21
20260617225530851265,589,220,124,21
20260617225531853847,597,220,126,21
20260617225532852439,595,220,125,21
20260617225533857718,590,220,124,21
20260617225534853698,589,220,124,22
20260617225535858691,590,220,124,22
20260617225536867046,590,220,124,22
20260617225537859633,594,220,125,22
20260617225538872057,593,220,125,22
20260617225539861839,590,220,124,22
20260617225540868205,590,220,124,22
20260617225541863414,590,220,124,22
20260617225542896211,590,220,124,22
20260617225543864055,596,220,125,22
20260617225544865079,597,220,126,22
20260617225545868580,590,220,124,22
20260617225546868197,589,220,124,22
20260617225547869169,590,220,124,22
20260617225548869153,590,220,124,22
20260617225549870646,597,220,126,22
20260617225550868679,597,220,126,22
20260617225551872546,590,220,124,22
20260617225552872859,590,220,124,22
20260617225553874263,590,220,124,22
20260617225554879571,589,220,124,22
20260617225555877574,597,220,126,22
20260617225556880297,594,220,125,22
20260617225557878613,590,220,124,22
20260617225558878298,590,220,124,22
20260617225559881006,590,220,124,22
20260617225600887750,589,220,124,22
20260617225601885847,594,220,125,22
20260617225602884336,593,220,125,23
20260617225603886021,590,220,124,23
20260617225604888479,590,220,124,23
20260617225605892501,590,220,124,23
20260617225606892248,590,220,124,23
20260617225607889854,597,220,125,23
20260617225608901997,598,220,126,23
20260617225609900972,590,220,124,23
20260617225610896209,590,220,124,23
20260617225611895810,590,220,124,23
20260617225612904439,590,220,124,23
20260617225613900421,598,220,126,23
20260617225614897548,597,220,126,23
20260617225615900376,590,220,124,23
20260617225616900602,590,220,124,23
20260617225617902747,590,220,124,23
20260617225618904816,590,220,124,23
20260617225619907537,598,220,126,23
20260617225620904534,595,220,125,23
20260617225621932184,591,220,124,23
20260617225622909753,590,220,124,23
20260617225623916973,590,220,124,23
20260617225624916807,590,220,124,23
20260617225625913528,594,220,125,23
20260617225626919886,593,220,125,23
20260617225627917764,589,221,124,23
20260617225628922610,589,221,124,23
20260617225629920333,589,220,124,23
20260617225630921927,589,220,124,23
20260617225631921351,595,220,125,24
20260617225632922532,597,220,126,24
20260617225633924662,590,220,124,24
20260617225634925303,590,220,124,24
20260617225635925163,590,220,124,24
20260617225636925590,590,220,124,24
20260617225637932248,597,220,126,24
20260617225638932402,597,220,126,24
20260617225639941328,589,220,124,24
20260617225640932921,589,220,124,24
20260617225641932671,590,220,124,24
20260617225642932626,590,220,124,24
20260617225643932557,597,220,126,24
20260617225644934446,595,220,125,24
20260617225645935119,590,221,124,24
20260617225646941896,589,221,124,24
20260617225647942837,590,220,124,24
20260617225648938733,589,221,124,24
20260617225649939632,593,221,125,24
20260617225650940612,593,220,125,24
20260617225651941635,590,221,124,24
20260617225652942857,589,220,124,24
20260617225653947415,589,220,124,24
20260617225654944544,589,220,124,24
20260617225655946841,595,220,125,24
20260617225656947910,597,221,126,24
20260617225657952902,589,221,124,24
20260617225658950648,589,221,124,24
20260617225659951108,589,221,124,24
20260617225700953978,589,221,124,25
20260617225701955898,596,221,126,25
20260617225702956681,596,221,126,25
20260617225703958958,589,221,124,25
20260617225704963773,589,221,124,25
20260617225705965196,589,221,124,25
20260617225706965691,589,221,124,25
20260617225707961640,597,221,126,25
20260617225708969749,595,220,125,25
20260617225709968832,590,220,124,25
20260617225710969763,589,220,124,25
20260617225711969375,590,220,124,25
20260617225712975074,589,220,124,25
20260617225713972176,593,220,125,25
20260617225714971918,593,221,125,25
20260617225715974118,589,221,124,25
20260617225716973338,589,221,124,25
20260617225717975672,600,221,126,25
