timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617230339649408,374,219,74,10
20260617230340681430,377,219,74,0
20260617230341653947,377,219,74,0
20260617230342655321,374,219,74,0
20260617230343655412,462,219,94,0
20260617230344658403,404,219,80,0
20260617230345655740,399,219,79,0
20260617230346661793,374,220,74,0
20260617230347683820,380,220,75,0
20260617230348665110,380,220,75,0
20260617230349665426,379,220,75,0
20260617230350667547,386,219,76,0
20260617230351668401,513,219,106,0
20260617230352672727,514,219,106,0
20260617230353674877,514,219,106,0
20260617230354687818,514,219,106,0
20260617230355678070,515,219,106,0
20260617230356677182,514,219,106,0
20260617230357684314,514,219,106,0
20260617230358682040,514,219,106,0
20260617230359679487,514,219,106,0
20260617230400683332,515,219,106,0
20260617230401685538,515,219,106,0
20260617230402685847,514,219,106,0
20260617230403686187,514,219,106,0
20260617230404687693,514,219,106,0
20260617230405688412,514,219,106,0
20260617230406696653,514,219,106,0
20260617230407691626,514,219,106,0
20260617230408701438,514,219,106,0
20260617230409697648,515,219,106,0
20260617230410698181,515,219,106,0
20260617230411698374,515,219,106,0
20260617230412716948,514,219,106,0
20260617230413698433,514,219,106,0
20260617230414700735,514,219,106,0
20260617230415709840,514,219,106,0
20260617230416701693,514,219,106,1
20260617230417701807,514,219,106,1
20260617230418703285,514,219,106,1
20260617230419704141,514,219,106,1
20260617230420707256,514,219,106,1
20260617230421707180,514,219,106,1
20260617230422732946,514,219,106,1
20260617230423706743,514,219,106,1
20260617230424714959,514,219,106,1
20260617230425712483,514,219,106,1
20260617230426712393,514,219,106,1
20260617230427719640,514,219,106,1
20260617230428710281,514,219,106,1
20260617230429716953,514,219,106,1
20260617230430717731,514,219,106,1
20260617230431716429,514,219,106,1
20260617230432717893,514,219,106,1
20260617230433717446,514,220,106,1
20260617230434719858,513,219,106,1
20260617230435720807,514,219,106,1
20260617230436725767,514,219,106,1
20260617230437736610,514,219,106,1
20260617230438722696,514,219,106,1
20260617230439734110,515,219,106,1
20260617230440730082,514,219,106,1
20260617230441732493,514,219,106,1
20260617230442726209,514,219,106,1
20260617230443733198,514,219,106,1
20260617230444727904,514,219,106,1
20260617230445730918,514,219,106,1
20260617230446730399,514,219,106,1
20260617230447731306,514,219,106,1
20260617230448735434,514,219,106,1
20260617230449737419,515,219,106,1
20260617230450742454,514,219,106,2
20260617230451739755,514,219,106,2
20260617230452741036,514,219,106,2
20260617230453740633,514,219,106,2
20260617230454747148,514,219,106,2
20260617230455773543,515,219,106,2
20260617230456755195,514,219,106,2
