timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/06/18 19:00:08.009, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.63, 62
2026/06/18 19:00:09.025, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.63, 62
2026/06/18 19:00:10.025, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.65, 61
2026/06/18 19:00:11.029, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 9.71, 62
2026/06/18 19:00:12.049, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 14.09, 62
2026/06/18 19:00:13.050, 0, NVIDIA GB10, 3, 0, [N/A], [N/A], 13.90, 62
2026/06/18 19:00:14.050, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 13.94, 62
2026/06/18 19:00:15.056, 0, NVIDIA GB10, 3, 0, [N/A], [N/A], 14.32, 61
2026/06/18 19:00:16.057, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 13.66, 61
2026/06/18 19:00:17.057, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.98, 61
2026/06/18 19:00:18.058, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 10.76, 60
2026/06/18 19:00:19.058, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 5.35, 60
2026/06/18 19:00:20.059, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 5.34, 60
2026/06/18 19:00:21.059, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.58, 60
2026/06/18 19:00:22.060, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.61, 59
2026/06/18 19:00:23.060, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.54, 59
2026/06/18 19:00:24.061, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 8.34, 59
2026/06/18 19:00:25.503, 0, NVIDIA GB10, 1, 0, [N/A], [N/A], 13.39, 59
2026/06/18 19:00:26.504, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 14.05, 59
2026/06/18 19:00:27.504, 0, NVIDIA GB10, 83, 0, [N/A], [N/A], 39.34, 64
