timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/06/18 19:22:03.150, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.22, 48
2026/06/18 19:22:04.167, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.29, 48
2026/06/18 19:22:05.167, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 4.28, 48
2026/06/18 19:22:06.177, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 8.35, 49
2026/06/18 19:22:07.181, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 14.56, 49
2026/06/18 19:22:08.196, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 13.23, 50
2026/06/18 19:22:09.196, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 14.44, 50
2026/06/18 19:22:10.196, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 13.66, 50
2026/06/18 19:22:11.197, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 12.06, 50
2026/06/18 19:22:12.200, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.69, 49
2026/06/18 19:22:13.200, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 9.62, 49
2026/06/18 19:22:14.201, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 5.57, 49
2026/06/18 19:22:15.201, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 10.32, 49
2026/06/18 19:22:16.362, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 13.72, 49
2026/06/18 19:22:17.362, 0, NVIDIA GB10, 89, 0, [N/A], [N/A], 31.47, 55
2026/06/18 19:22:18.362, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 39.24, 51
2026/06/18 19:22:19.363, 0, NVIDIA GB10, 1, 0, [N/A], [N/A], 11.33, 50
2026/06/18 19:22:20.363, 0, NVIDIA GB10, 84, 0, [N/A], [N/A], 53.55, 56
2026/06/18 19:22:21.364, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.51, 51
2026/06/18 19:22:22.364, 0, NVIDIA GB10, 90, 0, [N/A], [N/A], 53.76, 56
2026/06/18 19:22:23.364, 0, NVIDIA GB10, 0, 0, [N/A], [N/A], 11.55, 51
