timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103823408393,641,221,136,0
20260618103824410058,641,221,136,0
20260618103825413138,472,221,98,0
20260618103826436683,440,221,92,0
20260618103827412953,432,221,90,0
20260618103828414371,433,220,90,0
20260618103829413109,435,221,91,0
20260618103830414455,432,221,90,0
20260618103831415452,437,221,91,0
20260618103832418106,439,221,92,0
20260618103833418234,433,221,90,0
20260618103834420983,454,220,95,0
20260618103835419850,474,220,99,0
20260618103836420712,446,221,93,0
20260618103837423557,433,221,90,0
20260618103838425986,439,221,92,0
