timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103652773323,602,221,128,0
20260618103653785735,519,221,108,0
20260618103654779711,435,221,91,0
20260618103655781448,438,222,92,0
20260618103656780682,432,222,90,0
20260618103657807880,431,222,90,0
20260618103658782331,433,221,91,0
20260618103659784442,504,221,106,1
20260618103700783704,437,221,91,1
20260618103701784648,438,221,92,1
20260618103702788899,434,222,91,1
20260618103703788545,464,222,98,1
20260618103704788519,471,222,99,1
20260618103705788928,450,222,95,1
20260618103706789339,435,222,91,1
20260618103707790349,438,222,92,1
20260618103708791657,434,222,91,1
