timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617223232260368,394,218,78,922
20260617223233285243,367,218,72,0
20260617223234260453,367,218,72,0
20260617223235261414,362,218,70,0
20260617223236263565,375,218,73,0
20260617223237262772,372,218,73,0
20260617223238270152,456,218,92,0
20260617223239266603,501,218,103,0
20260617223240267982,501,218,103,0
20260617223241269738,501,218,103,0
20260617223242271909,501,218,103,0
20260617223243272596,501,218,103,0
20260617223244274121,501,218,103,0
20260617223245277546,501,218,103,0
20260617223246276172,501,218,103,0
20260617223247280504,501,218,103,0
20260617223248289026,501,218,103,0
20260617223249280725,501,218,103,0
20260617223250319760,501,218,103,0
20260617223251298655,501,218,103,0
20260617223252285796,501,218,103,0
20260617223253283761,501,218,103,0
20260617223254285465,501,218,103,0
20260617223255285794,501,218,103,0
20260617223256291524,501,218,103,0
20260617223257290037,501,218,103,0
20260617223258291168,501,218,103,0
20260617223259311109,501,218,103,0
20260617223300295214,501,218,103,0
20260617223301290347,501,218,103,0
20260617223302304653,501,218,103,0
20260617223303318641,501,218,103,0
20260617223304292383,501,218,103,0
20260617223305310580,501,218,103,0
20260617223306292798,501,218,103,0
20260617223307297836,501,218,103,0
20260617223308294923,500,219,103,0
20260617223309298704,500,219,103,1
20260617223310310205,501,219,103,1
20260617223311312687,501,218,103,1
20260617223312301346,501,218,103,1
20260617223313303285,501,219,103,1
20260617223314305758,501,218,103,1
20260617223315305603,500,219,103,1
20260617223316305234,501,219,103,1
20260617223317306235,500,219,103,1
20260617223318307013,500,219,103,1
20260617223319308505,501,219,103,1
20260617223320313496,501,219,103,1
20260617223321324466,500,219,103,1
20260617223322314000,501,218,103,1
20260617223323314871,501,218,103,1
20260617223324318211,501,218,103,1
20260617223325329406,501,218,103,1
20260617223326323208,501,218,103,1
20260617223327321103,548,218,113,1
20260617223328343045,526,218,108,1
20260617223329336556,523,218,108,1
20260617223330330401,523,218,108,1
20260617223331349376,522,218,108,1
20260617223332331816,523,218,108,1
20260617223333329791,522,218,108,1
20260617223334330772,523,218,108,1
20260617223335348252,523,218,108,1
20260617223336336544,522,218,108,1
20260617223337330264,522,218,108,1
20260617223338333052,523,218,108,1
20260617223339333454,522,218,108,1
20260617223340335564,523,218,108,1
20260617223341338360,523,218,108,1
20260617223342338682,524,218,108,1
20260617223343341636,524,218,108,2
20260617223344341281,524,218,108,2
20260617223345348088,522,218,108,2
20260617223346354374,521,218,108,2
20260617223347347483,521,218,107,2
20260617223348349423,521,218,108,2
20260617223349347795,520,218,107,2
20260617223350351861,521,218,107,2
20260617223351351874,521,218,108,2
20260617223352353871,522,218,108,2
20260617223353365020,522,218,108,2
20260617223354355343,520,219,107,2
20260617223355354866,520,219,107,2
20260617223356356866,520,219,107,2
20260617223357353036,520,219,107,2
20260617223358359136,520,219,107,2
20260617223359357412,521,219,108,2
20260617223402908223,519,219,107,2
20260617223405839019,519,219,107,2
20260617223406840229,519,219,107,2
20260617223407839165,520,219,107,2
20260617223408849976,520,219,108,2
20260617223409842709,520,219,107,2
20260617223410843201,520,219,107,2
20260617223411844507,520,219,107,2
20260617223412847205,520,219,108,2
20260617223413849802,520,219,107,2
20260617223414874556,520,219,107,2
20260617223415877716,520,219,107,3
20260617223416853175,520,219,107,3
20260617223417853459,538,219,111,3
20260617223418854005,530,219,110,3
20260617223419871048,530,219,109,3
20260617223420856210,530,219,109,3
20260617223421858793,520,218,107,3
20260617223422857869,520,218,107,3
20260617223423860312,533,218,110,3
20260617223424860691,531,218,109,3
20260617223425860964,531,218,110,3
20260617223426861598,531,218,109,3
20260617223427863891,532,218,109,3
20260617223428864083,531,218,109,3
20260617223429865676,531,218,109,3
20260617223430883583,531,218,109,3
20260617223431867019,532,218,110,3
20260617223432869509,532,217,110,3
20260617223433868961,531,218,109,3
20260617223434869805,531,218,109,3
20260617223435871069,531,218,109,3
20260617223436871519,529,218,109,3
20260617223437871983,530,218,109,3
20260617223438872673,530,218,109,3
20260617223439873975,531,218,109,3
20260617223440874999,530,218,109,3
20260617223441876125,531,218,110,3
20260617223442882770,531,218,109,3
20260617223443876961,530,218,109,3
20260617223444878740,530,218,109,3
20260617223445882547,531,218,109,3
20260617223446884930,530,218,109,3
20260617223447884584,530,218,109,3
20260617223448883099,530,218,109,4
20260617223449884163,530,218,109,4
20260617223450885598,529,218,109,4
20260617223451884190,530,218,109,4
20260617223452887260,530,218,109,4
20260617223453889738,530,218,109,4
20260617223454887957,530,218,109,4
20260617223455888120,530,218,109,4
20260617223456899090,530,218,109,4
20260617223457891842,530,218,109,4
20260617223458900554,529,218,109,4
20260617223459927281,529,218,109,4
20260617223500898408,529,218,109,4
20260617223501901148,530,218,109,4
20260617223502917565,530,218,109,4
20260617223503906546,530,218,109,4
20260617223504899069,529,219,109,4
20260617223505897755,529,219,109,4
20260617223506899038,529,219,109,4
20260617223507903386,528,218,109,4
20260617223508900763,529,218,109,4
20260617223509901455,529,218,109,4
20260617223510902815,528,219,109,4
20260617223511903215,529,219,109,4
20260617223512906016,529,218,109,4
20260617223513902873,529,218,109,4
20260617223514905200,528,218,109,4
20260617223515906446,529,218,109,4
20260617223516904686,528,219,109,4
20260617223517906437,528,219,109,4
20260617223518911116,528,219,109,4
20260617223519911548,529,219,109,4
20260617223520908768,528,219,109,4
20260617223521908500,529,219,109,5
20260617223522909091,528,219,109,5
20260617223523913016,528,219,109,5
20260617223524912967,528,219,109,5
20260617223525913075,528,219,109,5
20260617223526913395,528,219,109,5
20260617223527916060,528,219,109,5
20260617223528915387,528,219,109,5
20260617223529916929,527,219,109,5
20260617223530915101,527,219,109,5
20260617223531915974,528,219,109,5
20260617223532919507,527,219,109,5
20260617223533918406,527,219,109,5
20260617223534920332,528,219,109,5
20260617223535921475,528,219,109,5
20260617223536920313,527,219,109,5
20260617223537921047,528,219,109,5
20260617223538926238,527,219,109,5
20260617223539923759,527,219,109,5
20260617223540924398,527,219,109,5
20260617223541922941,527,219,109,5
20260617223542923399,527,219,109,5
20260617223543923696,528,219,109,5
20260617223544928431,527,219,109,5
20260617223545926524,527,219,109,5
20260617223546926434,527,219,109,5
20260617223547926995,527,219,109,5
20260617223548930677,527,219,109,5
20260617223549933946,527,219,109,5
20260617223550936701,527,219,109,5
20260617223551929509,528,219,109,5
20260617223552930322,527,219,109,5
20260617223553933257,526,219,109,5
20260617223554932572,527,219,109,6
20260617223555933968,527,219,109,6
20260617223556932337,527,219,109,6
20260617223557935808,527,219,109,6
20260617223558934691,528,219,109,6
20260617223559941233,528,219,109,6
20260617223600941822,527,219,109,6
20260617223601939249,528,219,109,6
20260617223602937400,528,219,109,6
20260617223603938805,528,219,109,6
20260617223604943010,527,219,109,6
20260617223605939955,528,219,109,6
20260617223606941083,527,219,109,6
20260617223607941150,528,218,109,6
20260617223608942647,527,218,109,6
20260617223609942764,528,218,109,6
20260617223610952589,527,219,109,6
20260617223611947030,528,219,109,6
20260617223612946702,528,219,109,6
20260617223613945827,527,219,109,6
20260617223614944045,528,219,109,6
20260617223615946077,527,219,109,6
20260617223616948623,527,219,109,6
20260617223617949931,527,219,109,6
20260617223618955631,527,219,109,6
20260617223619957649,528,219,109,6
20260617223620953018,527,219,109,6
20260617223622464540,528,219,109,6
20260617223623360286,528,219,109,6
20260617223624359978,528,219,109,6
20260617223625360088,528,219,109,6
20260617223626357949,527,219,109,6
20260617223627361587,527,219,109,6
20260617223628361844,527,219,109,7
20260617223629376982,527,219,109,7
20260617223630363948,528,219,109,7
20260617223631365091,528,219,109,7
20260617223632365608,528,219,109,7
20260617223633368741,527,219,109,7
20260617223634367144,527,219,109,7
20260617223635369591,527,219,109,7
20260617223636370730,527,219,109,7
20260617223637371024,527,219,109,7
20260617223638370059,527,219,109,7
20260617223639372118,527,219,109,7
20260617223640384547,527,219,109,7
20260617223641372837,527,219,109,7
20260617223642372998,528,219,109,7
20260617223643374077,527,219,109,7
20260617223644376438,527,219,109,7
20260617223645375203,527,219,109,7
20260617223646376121,527,219,109,7
20260617223647391697,527,219,109,7
20260617223648376759,527,219,109,7
20260617223649377769,527,219,109,7
20260617223650378725,527,219,109,7
20260617223651378640,526,219,109,7
20260617223652381340,527,219,109,7
20260617223653381467,526,219,109,7
20260617223654381246,527,219,109,7
20260617223655416576,527,219,109,7
20260617223656379900,527,219,109,7
20260617223657382277,527,219,109,7
20260617223658389027,527,219,109,7
20260617223659385107,527,219,109,7
20260617223700385304,527,219,109,7
20260617223701385151,526,219,109,8
20260617223702384845,528,219,109,8
20260617223703386482,527,219,109,8
20260617223704386394,527,219,109,8
20260617223705393794,527,219,109,8
20260617223706394062,527,218,109,8
20260617223707391228,526,219,109,8
20260617223708397531,526,219,109,8
20260617223709391725,526,219,109,8
20260617223710390302,527,219,109,8
20260617223711397917,527,219,109,8
20260617223712398280,528,219,109,8
20260617223713393703,527,219,109,8
20260617223714399006,527,219,109,8
20260617223715399173,526,219,109,8
20260617223716399366,527,219,109,8
20260617223717435265,526,219,109,8
20260617223718400066,527,219,109,8
20260617223719417536,527,219,109,8
20260617223720400430,527,219,109,8
20260617223721400863,526,219,109,8
20260617223722402552,527,219,109,8
20260617223723404105,527,219,109,8
20260617223724417354,526,219,109,8
20260617223725418154,526,219,109,8
20260617223726418296,527,219,109,8
20260617223727418365,527,219,109,8
20260617223728406289,527,219,109,8
20260617223729406308,526,219,109,8
20260617223730407331,527,219,109,8
20260617223731409225,527,219,109,8
20260617223732421461,527,219,109,8
20260617223733422053,527,219,109,8
20260617223734422035,527,219,109,9
20260617223735422443,527,219,109,9
20260617223736423064,527,219,109,9
20260617223737422807,527,219,109,9
20260617223738423951,527,219,109,9
20260617223739423813,526,219,109,9
20260617223740424135,526,219,109,9
20260617223741424530,527,219,109,9
20260617223742424933,528,219,109,9
20260617223743426076,527,219,109,9
20260617223744440168,527,219,109,9
20260617223745425899,526,219,109,9
20260617223746426484,527,219,109,9
20260617223747430885,526,219,108,9
20260617223748428392,527,218,109,9
20260617223749430164,527,219,108,9
20260617223750432108,527,219,109,9
20260617223751435224,527,219,109,9
20260617223752430223,528,219,109,9
20260617223753432710,527,219,109,9
20260617223754458789,526,219,109,9
20260617223755435835,526,219,108,9
20260617223756440215,526,219,108,9
20260617223757441299,526,219,108,9
20260617223758440564,527,219,109,9
20260617223759435157,527,219,109,9
20260617223800433007,527,219,109,9
20260617223801454449,527,219,109,9
20260617223802435708,528,219,109,9
20260617223803434570,528,219,109,9
20260617223804435431,526,219,109,9
20260617223805437089,527,219,109,9
20260617223806439081,527,219,109,9
20260617223807441171,527,219,109,10
20260617223808438631,527,219,109,10
20260617223809471371,527,219,108,10
20260617223810441742,527,219,109,10
20260617223811441322,527,219,109,10
20260617223812443240,527,219,109,10
20260617223813442728,527,219,109,10
20260617223814443521,527,219,109,10
20260617223815445211,526,219,109,10
20260617223816444875,526,219,109,10
20260617223817442999,526,219,108,10
20260617223818447324,527,219,109,10
20260617223819449575,526,219,109,10
20260617223820448912,526,219,109,10
20260617223821449908,526,219,109,10
20260617223822450475,527,219,109,10
20260617223823459488,527,219,109,10
20260617223824452512,526,219,109,10
20260617223825453969,526,219,109,10
20260617223826453061,526,219,109,10
20260617223827454618,526,219,108,10
20260617223828453638,526,219,109,10
20260617223829455385,526,219,108,10
20260617223830462287,527,219,109,10
20260617223831459752,420,219,84,10
20260617223832458450,427,219,86,10
20260617223833460269,469,219,96,10
