timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260617224456157053,594,219,124,25
20260617224457159147,588,219,123,0
20260617224458165563,597,219,125,0
20260617224459164298,556,219,115,0
20260617224500165148,519,219,107,0
20260617224501165932,516,219,107,0
20260617224502169908,516,219,106,0
20260617224503171325,510,219,105,0
20260617224504173510,514,219,106,0
20260617224505190755,525,219,109,0
20260617224506176000,525,219,109,0
20260617224507177358,592,219,124,0
20260617224508178658,602,219,126,0
20260617224509182233,595,219,124,0
20260617224510180732,593,219,124,0
20260617224511182712,593,219,124,0
20260617224512184633,590,219,123,0
20260617224513181664,589,219,123,0
20260617224514186792,597,219,125,0
20260617224515192049,596,219,125,0
20260617224516189982,589,219,123,0
20260617224517190917,589,219,123,0
20260617224518192940,589,219,123,0
20260617224519194244,589,219,123,0
20260617224520195405,597,219,125,0
20260617224521197038,595,219,124,0
20260617224522195593,589,219,123,0
20260617224523202244,589,219,123,0
20260617224524205662,589,219,123,0
20260617224525205969,589,219,123,0
20260617224526208467,598,219,125,0
20260617224527207147,593,219,124,1
20260617224528209245,589,219,123,1
20260617224529211020,589,219,123,1
20260617224530210196,589,219,123,1
20260617224531212410,589,219,123,1
20260617224532213445,595,219,124,1
20260617224533214181,590,219,123,1
20260617224534216288,589,219,123,1
20260617224535218822,588,219,123,1
20260617224536222612,588,219,123,1
20260617224537222054,589,219,123,1
20260617224538222952,596,219,125,1
20260617224539251861,596,219,125,1
20260617224540258454,588,219,123,1
20260617224541226432,588,219,123,1
20260617224542229263,588,219,123,1
20260617224543229704,588,219,123,1
20260617224546770594,592,219,124,1
20260617224549688799,592,219,124,1
20260617224550698404,601,219,126,1
20260617224551689966,596,219,125,1
20260617224552693575,591,219,124,1
20260617224553691618,592,219,124,1
20260617224554698231,592,219,124,1
20260617224555694670,591,219,124,1
20260617224556696617,599,219,125,2
20260617224557699647,594,219,125,2
20260617224558700117,591,219,124,2
20260617224559700430,592,219,124,2
20260617224600700887,591,219,124,2
20260617224601711374,591,219,124,2
20260617224602703210,599,219,126,2
20260617224603703384,599,219,125,2
20260617224604708332,591,219,124,2
20260617224605705223,592,219,124,2
20260617224606706226,591,219,124,2
20260617224607709123,591,219,124,2
20260617224608713088,599,219,126,2
20260617224609709041,597,219,125,2
20260617224610710077,592,219,124,2
20260617224611735824,591,219,124,2
20260617224612714298,591,219,124,2
20260617224613714161,592,219,124,2
20260617224614716270,601,219,126,2
20260617224615731979,596,219,125,2
20260617224616719146,591,219,124,2
20260617224617721031,591,219,124,2
20260617224618718300,591,219,124,2
20260617224619726599,591,219,124,2
20260617224620723473,598,219,125,2
20260617224621724544,594,219,124,2
20260617224622730243,591,220,124,2
20260617224623727305,591,220,124,2
20260617224624727985,591,219,124,3
20260617224625752480,591,219,124,3
20260617224626728896,599,219,126,3
20260617224627734658,599,219,126,3
20260617224628731299,591,219,124,3
20260617224629734928,591,219,124,3
20260617224630757158,592,219,124,3
20260617224631731061,591,219,124,3
20260617224632736538,600,219,126,3
20260617224633736766,597,219,125,3
20260617224634737948,591,220,124,3
20260617224635738437,591,220,124,3
20260617224636739191,591,219,124,3
20260617224637744367,591,219,124,3
20260617224638740892,600,219,126,3
20260617224639765015,595,220,125,3
20260617224640742839,591,219,124,3
20260617224641743868,590,220,124,3
20260617224642746022,591,219,124,3
20260617224643746032,591,220,124,3
20260617224644747624,600,219,126,3
20260617224645746775,594,219,124,3
20260617224646750387,591,219,124,3
20260617224647750861,591,219,124,3
20260617224648753245,591,219,124,3
20260617224649751573,591,219,124,3
20260617224650753082,600,219,126,3
20260617224651754472,600,219,126,3
20260617224652755023,592,219,124,3
20260617224653792867,591,219,124,4
