timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103332370892,554,220,115,1357
20260618103333375311,590,220,123,0
20260618103334378498,590,220,123,0
20260618103335373870,593,220,124,0
20260618103336375493,592,221,124,0
20260618103337376320,628,221,132,0
20260618103338375004,960,220,207,0
20260618103339378385,941,220,202,0
20260618103340378298,939,220,202,0
20260618103341378934,929,220,200,0
20260618103342379720,930,220,200,0
20260618103343381587,941,220,202,0
20260618103344379446,944,220,203,0
20260618103345382514,936,220,201,0
20260618103346382456,929,220,200,0
20260618103347383630,935,220,201,0
20260618103348384516,929,220,200,0
20260618103349385528,934,220,201,0
20260618103350387846,928,220,200,0
20260618103351387133,939,220,202,0
20260618103352388241,937,220,201,1
20260618103353389584,938,220,202,1
20260618103354390878,923,221,199,1
20260618103355392146,932,221,201,1
20260618103356393007,925,221,200,1
20260618103357393314,907,221,195,1
20260618103358394832,933,221,201,1
20260618103359397848,921,221,198,1
20260618103400397259,924,221,199,1
20260618103401398758,934,221,201,1
20260618103402399992,913,221,197,1
20260618103403400971,912,221,197,1
20260618103404402801,908,221,196,1
20260618103405402950,907,222,196,1
20260618103406403138,906,222,196,1
20260618103407411138,899,221,194,1
20260618103408406698,833,221,179,1
20260618103409405964,863,221,186,1
20260618103410406656,737,222,157,1
20260618103411415400,735,222,157,2
20260618103412408126,689,222,146,2
20260618103413419888,645,222,137,2
20260618103414409740,619,222,130,2
20260618103415414923,617,223,130,2
20260618103416411639,617,222,130,2
20260618103417413576,617,222,130,2
20260618103418412543,621,222,131,2
20260618103419412537,625,222,132,2
20260618103420424463,617,222,130,2
20260618103421415309,617,222,130,2
20260618103422416779,616,223,130,2
20260618103423416623,871,223,188,2
20260618103424416910,871,223,189,2
20260618103425419392,894,223,194,2
20260618103426419781,849,223,184,2
20260618103427420381,632,224,134,2
20260618103428421453,632,224,134,2
20260618103429421949,632,224,135,2
20260618103430422435,611,224,130,2
20260618103431423553,622,223,132,2
20260618103432424170,612,224,130,2
20260618103433424687,610,224,130,2
20260618103434429730,611,224,130,2
20260618103435426843,608,224,129,2
20260618103436428346,612,224,130,2
20260618103437428423,619,224,132,3
20260618103438429620,630,224,134,3
20260618103439430458,629,224,134,3
20260618103440431370,618,224,131,3
20260618103441432831,615,224,131,3
20260618103442433884,651,224,138,3
20260618103443435553,641,223,136,3
20260618103444435430,632,224,134,3
20260618103445435663,614,224,130,3
20260618103446436655,795,224,172,3
20260618103447437841,659,224,140,3
20260618103448437936,826,224,179,3
20260618103449438612,655,224,140,3
20260618103450454260,625,224,133,3
20260618103451440503,617,224,131,3
20260618103452450198,613,224,130,3
20260618103453443087,671,224,143,3
20260618103454446521,850,224,185,3
20260618103455443379,759,224,163,3
20260618103456445217,633,224,135,3
20260618103457444729,647,224,138,3
20260618103458445527,807,224,175,3
20260618103459446332,843,223,183,3
20260618103500447851,662,224,141,3
20260618103501448566,585,224,124,4
20260618103502449688,568,224,120,4
20260618103503449982,544,224,114,4
20260618103504452796,595,224,126,4
20260618103505452232,593,224,125,4
20260618103506453087,545,224,114,4
20260618103507454703,551,224,116,4
20260618103508453620,544,224,114,4
