timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103523096175,630,220,134,6
20260618103524100235,614,220,130,0
20260618103525100148,450,221,94,0
20260618103526101786,442,221,92,0
20260618103527102518,433,220,90,0
20260618103528114747,435,220,91,0
20260618103529115245,436,221,91,0
20260618103530115311,489,221,102,0
20260618103531116091,440,221,92,0
20260618103532116466,440,221,92,0
20260618103533117053,434,221,91,0
20260618103534117256,459,221,96,0
20260618103535117642,474,221,100,0
20260618103536117995,433,221,90,0
20260618103537118247,438,221,92,0
20260618103538118562,439,221,92,0
