timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103204549399,568,221,118,1211
20260618103205549580,541,221,111,0
20260618103206560661,557,221,115,0
20260618103207550724,558,221,116,0
20260618103208550947,579,221,121,0
20260618103209552281,823,221,174,0
20260618103210553116,911,221,196,0
20260618103211553822,897,221,193,0
20260618103212555532,886,221,191,0
20260618103213556124,886,221,191,0
20260618103214556628,890,221,192,0
20260618103215558762,902,221,194,0
20260618103216559098,895,221,193,0
20260618103217560630,894,221,192,0
20260618103218564040,882,221,190,0
20260618103219563244,888,221,191,0
20260618103220572369,884,221,190,0
20260618103221567340,890,221,191,0
20260618103222567249,888,221,191,0
20260618103223568066,894,221,193,0
20260618103224568996,890,221,192,0
20260618103225570646,879,221,189,1
20260618103226571279,880,221,190,1
20260618103227572700,871,221,188,1
20260618103228573489,861,221,185,1
20260618103229573471,888,221,191,1
20260618103230575950,892,221,192,1
20260618103231577765,881,221,190,1
20260618103232577986,885,221,191,1
20260618103233579840,876,221,189,1
20260618103234583265,872,221,188,1
20260618103235582006,870,221,187,1
20260618103236583460,870,221,187,1
20260618103237583891,874,221,188,1
20260618103238584833,865,221,186,1
20260618103239585200,720,221,153,1
20260618103240586162,737,221,156,1
20260618103241587397,768,221,163,1
20260618103242588767,633,221,133,1
20260618103243590074,676,221,143,1
20260618103244591733,603,221,126,1
20260618103245591913,586,221,122,1
20260618103246593110,575,221,120,2
20260618103247593604,576,221,120,2
20260618103248595261,575,220,119,2
20260618103249596147,578,220,120,2
20260618103250597855,577,220,120,2
20260618103251597873,576,220,120,2
20260618103252600266,573,221,119,2
20260618103253600791,574,221,119,2
20260618103254602024,606,221,126,2
20260618103255603421,835,220,178,2
20260618103256605738,860,220,184,2
20260618103257606470,815,220,174,2
20260618103258609482,683,221,144,2
20260618103259608197,596,221,124,2
20260618103300608385,596,221,124,2
20260618103301609906,577,221,120,2
20260618103302615809,575,220,119,2
20260618103303612855,577,220,120,2
20260618103304612451,575,221,119,2
20260618103305613866,574,221,119,2
20260618103306614031,576,221,120,2
20260618103307615827,577,221,120,2
20260618103308618108,578,221,120,2
20260618103309619217,578,221,120,2
20260618103310641581,586,221,122,2
20260618103311621188,599,221,125,2
20260618103312621332,579,221,120,2
20260618103313623082,717,221,151,2
20260618103314622808,598,221,125,3
20260618103315624345,581,221,121,3
20260618103316625894,579,220,120,3
20260618103317626283,596,220,124,3
20260618103318627637,739,220,156,3
20260618103319630023,812,220,173,3
20260618103320630332,719,220,152,3
20260618103321631817,598,221,125,3
20260618103322640144,580,221,121,3
20260618103323634054,579,221,120,3
20260618103324634437,578,221,120,3
20260618103325636059,777,220,165,3
20260618103326637993,787,220,168,3
20260618103327638923,624,220,130,3
20260618103328640347,599,221,125,3
20260618103329640662,799,220,170,3
20260618103330642080,803,220,170,3
20260618103331643223,694,220,146,3
20260618103332648054,589,220,122,3
20260618103333649251,539,220,111,3
20260618103334646743,520,220,106,3
20260618103335648334,503,220,102,3
20260618103336649725,504,221,103,3
20260618103337649734,503,221,102,3
20260618103338651063,503,220,102,3
20260618103339652238,505,220,103,3
20260618103340652824,504,220,102,3
20260618103341654297,503,220,102,3
20260618103342655378,503,220,102,4
20260618103343657283,504,220,102,4
20260618103344657236,504,220,103,4
20260618103345656936,504,220,102,4
20260618103346658216,503,220,102,4
20260618103347658689,503,220,102,4
20260618103348659585,503,220,102,4
20260618103349660312,503,220,102,4
20260618103350659533,503,220,102,4
20260618103351667584,504,220,102,4
20260618103352661850,504,220,103,4
20260618103353663859,503,220,102,4
20260618103354664288,503,221,102,4
20260618103355687145,503,221,102,4
20260618103356664583,503,221,103,4
20260618103357665800,501,221,102,4
20260618103358665589,501,221,102,4
20260618103359679208,503,221,102,4
20260618103400666131,503,221,102,4
20260618103401668430,501,221,102,4
20260618103402669374,501,221,102,4
20260618103403671675,501,221,102,4
20260618103404670862,501,221,102,4
20260618103405677113,501,222,102,4
20260618103406671511,501,222,102,4
20260618103407672550,501,221,102,4
20260618103408672727,503,221,102,4
20260618103409675410,501,221,102,4
20260618103410674039,501,222,102,4
20260618103411676011,501,222,102,4
20260618103412676017,501,222,102,4
20260618103413678038,500,222,102,4
20260618103414679159,500,222,102,4
20260618103415681809,499,223,102,4
20260618103416680702,500,222,102,4
20260618103417680954,499,222,102,5
20260618103418682276,499,222,102,5
20260618103419682069,499,222,102,5
20260618103420682965,500,222,102,5
20260618103421684631,499,222,102,5
20260618103422684161,498,223,102,5
20260618103423686242,499,223,102,5
20260618103424686267,499,223,102,5
20260618103425688259,497,223,102,5
20260618103426689185,498,223,102,5
20260618103427688138,497,224,102,5
20260618103428688918,496,224,102,5
20260618103429690180,496,224,102,5
20260618103430690900,496,224,102,5
20260618103431691317,497,224,102,5
20260618103432692481,496,224,102,5
20260618103433693932,495,224,102,5
20260618103434695324,496,224,102,5
20260618103435694483,495,224,102,5
20260618103436695644,495,224,102,5
20260618103437697170,495,224,102,5
20260618103438699509,495,224,102,5
20260618103439699398,497,224,102,5
20260618103440699909,495,224,102,5
20260618103441700251,496,224,102,5
20260618103442708194,496,224,102,5
20260618103443701336,497,223,102,5
20260618103444706997,496,224,102,5
20260618103445703829,496,224,102,5
20260618103446705055,496,224,102,5
20260618103447708160,496,224,102,5
20260618103448711378,496,224,102,5
20260618103449708551,495,224,102,5
20260618103450709471,496,224,102,5
20260618103451715044,496,224,102,5
20260618103452712499,496,224,102,6
20260618103453713819,496,224,102,6
20260618103454713923,496,224,102,6
20260618103455714627,496,224,102,6
20260618103456715315,496,224,102,6
20260618103457715988,496,224,102,6
20260618103458716735,496,224,102,6
20260618103459717963,497,223,102,6
20260618103500718345,496,224,102,6
20260618103501719680,496,224,102,6
20260618103502720812,495,224,102,6
20260618103503721304,496,224,102,6
20260618103504722217,520,224,108,6
20260618103505723066,518,224,107,6
20260618103506723849,496,224,102,6
20260618103507724582,495,224,102,6
